id,name,city,bed_capacity,icu_seats,ayushman_enabled,facilities,rating,contact,address
1,All India Institute of Medical Sciences (AIIMS),Delhi,2300,150,Yes,"Emergency | ICU | Cardiology | Neurosurgery | Pediatric ICU | Cardiac ICU",4.8,+91-11-26588500,"Ansari Nagar, New Delhi"
63,Apollo Hospitals (Sector 26),Noida,250,35,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.5,+91-120-2450000,"Sector 26, Noida"
64,Columbia Asia Hospital (Noida),Noida,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.3,+91-120-4603000,"Sector 95, Noida"
65,Aster CMI Hospital (Noida),Noida,300,40,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.5,+91-120-4914444,"Sector 109, Noida"
66,Sarvodya Hospital (Sector 24),Noida,180,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-120-2444444,"Sector 24, Noida"
67,Attar Sain Jain Hospital,Noida,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-120-2450000,"Sector 19, Noida"
68,Dharamveer Solanki Hospital,Noida,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-120-2444444,"Sector 30, Noida"
69,City Medico Hospital,Noida,90,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-120-2450000,"Sector 50, Noida"
70,Akash Hospital,Noida,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.2,+91-120-2444444,"Sector 12, Noida"
71,Lok Nayak Hospital,Delhi,1950,150,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.2,+91-11-23231400,"Jawaharlal Nehru Marg, Delhi"
72,Guru Teg Bahadur Hospital,Delhi,1200,100,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Gynecology",4.1,+91-11-22582972,"Dilshad Garden, Delhi"
73,Ram Manohar Lohia Hospital,Delhi,950,80,Yes,"Emergency | ICU | General Medicine | Surgery | Cardiology | Neurosciences",4.3,+91-11-23365525,"Baba Kharak Singh Marg, New Delhi"
74,Lady Hardinge Medical College & Hospital,Delhi,877,70,Yes,"Emergency | ICU | Pediatrics | Gynecology | General Medicine | Surgery",4.2,+91-11-23363731,"Connaught Place, New Delhi"
75,Kalawati Saran Children's Hospital,Delhi,350,40,Yes,"Pediatrics | NICU | PICU | Pediatric Surgery | Emergency | Neonatology",4.3,+91-11-23363731,"Lady Hardinge Medical College Campus, Delhi"
76,Dr. Ram Manohar Lohia Hospital,Delhi,950,80,Yes,"Emergency | ICU | General Medicine | Surgery | Cardiology | Neurosciences",4.3,+91-11-23365525,"Baba Kharak Singh Marg, New Delhi"
77,Max Super Speciality Hospital (Mohali),Delhi,300,40,Yes,"Emergency | ICU | Oncology | Cardiology | Neurosciences | Orthopedics",4.5,+91-172-4692222,"Sector 69, Mohali"
78,Apollo Spectra Hospitals (Kailash Colony),Delhi,70,15,Yes,"Day Care Surgery | Orthopedics | Laparoscopy | ENT | Plastic Surgery | Urology",4.4,+91-11-30404444,"Kailash Colony, New Delhi"
79,Apollo Spectra Hospitals (Nehru Enclave),Delhi,65,12,Yes,"Day Care Surgery | Orthopedics | Laparoscopy | ENT | Plastic Surgery | Urology",4.4,+91-11-30404444,"Nehru Enclave, New Delhi"
80,Mahajan Imaging Centre (AIIMS),Delhi,0,0,No,"Radiology | MRI | CT Scan | Ultrasound | X-Ray | Mammography",4.6,+91-11-26588500,"Ansari Nagar, New Delhi"
81,Dr. Lal PathLabs (Central Delhi),Delhi,0,0,No,"Pathology | Blood Tests | Biochemistry | Hematology | Microbiology | Histopathology",4.5,+91-11-23738753,"Connaught Place, New Delhi"
82,Metro Heart Institute (Noida),Noida,120,20,Yes,"Cardiology | Cardiac Surgery | ICU | Emergency | Non-Invasive Cardiology | Pediatric Cardiology",4.4,+91-120-2444444,"Sector 11, Noida"
83,Asian Institute of Medical Sciences (Faridabad),Gurgaon,350,45,Yes,"Emergency | ICU | Oncology | Cardiology | Neurosciences | Orthopedics",4.4,+91-129-4259000,"Sector 21A, Faridabad"
84,Amrita Hospital (Faridabad),Gurgaon,2600,240,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-129-2851234,"Sector 88, Faridabad"
85,Max Super Speciality Hospital (Shalimar Bagh),Delhi,220,30,Yes,"Emergency | ICU | Orthopedics | Urology | Gastroenterology | General Surgery",4.5,+91-11-45302222,"Shalimar Bagh, Delhi"
86,Apollo Spectra Hospitals (Safdarjung),Delhi,60,12,Yes,"Day Care Surgery | Orthopedics | Laparoscopy | ENT | Plastic Surgery | Urology",4.4,+91-11-30404444,"Safdarjung Enclave, New Delhi"
87,Columbia Asia Hospital (Palam Vihar),Gurgaon,85,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.3,+91-124-3989896,"Palam Vihar, Gurgaon"
88,SPS Hospitals (Gurgaon),Gurgaon,180,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.4,+91-124-4677777,"Sector 10, Gurgaon"
89,Nazareth Hospital,Delhi,200,25,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-11-23913561,"Chandni Chowk, Delhi"
90,St. Joseph's Hospital,Delhi,150,20,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-11-23963561,"Chandni Chowk, Delhi"
91,Swami Dayanand Hospital,Delhi,500,60,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.0,+91-11-22115201,"Shahdara, Delhi"
92,Guru Nanak Eye Centre,Delhi,120,15,Yes,"Ophthalmology | Eye Surgery | Emergency | ICU | Retina | Cornea",4.3,+91-11-23237410,"Maharaja Ranjit Singh Marg, Delhi"
93,Institute of Human Behaviour & Allied Sciences,Delhi,350,40,Yes,"Psychiatry | Neurology | Neurosurgery | ICU | Emergency | Rehabilitation",4.2,+91-11-22592921,"Dilshad Garden, Delhi"
94,ESI Hospital (Okhla),Delhi,300,35,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",3.9,+91-11-26805161,"Okhla Industrial Area, Delhi"
95,RML Hospital (Delhi Cantt),Delhi,280,30,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.0,+91-11-25691362,"Delhi Cantonment, Delhi"
96,Mata Chanan Devi Hospital,Delhi,220,25,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-11-27053801,"Janakpuri, Delhi"
97,GTB Hospital (Dilshad Garden),Delhi,1200,100,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Gynecology",4.1,+91-11-22582972,"Dilshad Garden, Delhi"
98,Maharishi Valmiki Hospital,Delhi,400,45,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.0,+91-11-23237410,"Paharganj, Delhi"
99,Babu Jagjivan Ram Memorial Hospital,Delhi,350,40,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",3.9,+91-11-22115201,"Jahangirpuri, Delhi"
100,Deep Chand Bandhu Hospital,Delhi,300,35,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",3.8,+91-11-27053801,"Ashok Vihar, Delhi"
101,Maharaja Agrasen Hospital,Ambala,150,20,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.2,+91-171-2566666,"Ambala Cantt, Ambala"
102,Alcare Hospital,Ambala,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-171-2500000,"Ambala City, Ambala"
103,Shri Hospital,Ambala,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-171-2522222,"Ambala Cantt, Ambala"
104,City Hospital,Ambala,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-171-2533333,"Ambala City, Ambala"
105,Max Hospital,Ambala,90,14,Yes,"Emergency | ICU | Orthopedics | Urology | Gastroenterology | General Surgery",4.1,+91-171-2544444,"Ambala Cantt, Ambala"
106,PGI Satellite Centre,Panchkula,200,30,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.3,+91-172-2580000,"Sector 6, Panchkula"
107,Alchemist Hospital,Panchkula,120,20,Yes,"Emergency | ICU | Cardiology | Orthopedics | Neurosciences | Gastroenterology",4.4,+91-172-2599999,"Sector 1, Panchkula"
108,Columbia Asia Hospital,Panchkula,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.3,+91-172-2566666,"Sector 5, Panchkula"
109,Fortis Hospital,Panchkula,150,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.5,+91-172-2544444,"Sector 8, Panchkula"
110,Metro Hospital,Yamunanagar,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1735-242424,"Yamunanagar"
111,Satya Hospital,Yamunanagar,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1735-245555,"Yamunanagar"
112,Aastha Hospital,Yamunanagar,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1735-246666,"Yamunanagar"
113,Krishna Hospital,Karnal,180,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-184-2250000,"Karnal"
114,MMH College & Hospital,Karnal,300,40,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.2,+91-184-2255555,"Karnal"
115,Soni Hospital,Karnal,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-184-2266666,"Karnal"
116,Rao Hospital,Karnal,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-184-2277777,"Karnal"
117,Kalpit Hospital,Kurukshetra,150,22,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1744-232323,"Kurukshetra"
118,Saini Hospital,Kurukshetra,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1744-234444,"Kurukshetra"
119,Red Cross Hospital,Kurukshetra,90,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1744-235555,"Kurukshetra"
120,Ayushman Hospital,Kurukshetra,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1744-236666,"Kurukshetra"
121,Sun Hospital,Panipat,200,30,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-180-2650000,"Panipat"
122,Asha Hospital,Panipat,150,22,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-180-2666666,"Panipat"
123,Sharma Hospital,Panipat,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-180-2677777,"Panipat"
124,Gupta Hospital,Panipat,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-180-2688888,"Panipat"
125,Pandit Hospital,Panipat,90,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-180-2699999,"Panipat"
126,Sethi Hospital,Sonipat,180,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-130-2220000,"Sonipat"
127,Chawla Hospital,Sonipat,140,20,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-130-2233333,"Sonipat"
128,Mittal Hospital,Sonipat,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-130-2244444,"Sonipat"
129,Batra Hospital,Sonipat,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-130-2255555,"Sonipat"
130,Singla Hospital,Sonipat,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-130-2266666,"Sonipat"
131,Bhagwan Hospital,Rohtak,250,35,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.4,+91-1262-240000,"Rohtak"
132,PGIMS,Rohtak,1500,180,Yes,"Emergency | ICU | General Medicine | Surgery | Pediatrics | Orthopedics",4.5,+91-1262-241111,"Rohtak"
133,Saini Hospital,Rohtak,180,25,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-1262-242222,"Rohtak"
134,Kumar Hospital,Rohtak,130,20,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-1262-243333,"Rohtak"
135,Jain Hospital,Rohtak,110,16,No,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1262-244444,"Rohtak"
136,Arora Hospital,Hisar,220,32,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.4,+91-1662-250000,"Hisar"
137,Agrawal Hospital,Hisar,180,26,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.3,+91-1662-251111,"Hisar"
138,PNB Hospital,Hisar,150,22,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.2,+91-1662-252222,"Hisar"
139,Sharma Hospital,Hisar,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1662-253333,"Hisar"
140,Gupta Hospital,Hisar,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1662-254444,"Hisar"
141,Malik Hospital,Bhiwani,160,24,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-1664-230000,"Bhiwani"
142,Saini Hospital,Bhiwani,130,20,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-1664-231111,"Bhiwani"
143,Red Cross Hospital,Bhiwani,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-1664-232222,"Bhiwani"
144,Ayush Hospital,Bhiwani,90,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1664-233333,"Bhiwani"
145,Kumar Hospital,Bhiwani,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1664-234444,"Bhiwani"
146,Singh Hospital,Jind,140,21,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-1681-245000,"Jind"
147,Gupta Hospital,Jind,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-1681-246666,"Jind"
148,Sharma Hospital,Jind,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-1681-247777,"Jind"
149,Jain Hospital,Jind,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1681-248888,"Jind"
150,Verma Hospital,Jind,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1681-249999,"Jind"
151,Rao Hospital,Fatehabad,130,20,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1667-220000,"Fatehabad"
