name,generic_name,type,dosage,manufacturer,composition,prescription_required,usage,precautions,common_side_effects,serious_side_effects
Imodium,Loperamide,Antidiarrheal,2mg,J&J,Loperamide HCl,false,"Acute diarrhea, traveler's diarrhea","Not for bacterial infections; use only 2 days",Constipation|Dizziness|Nausea,Toxic megacolon|Heart problems
Tums,Calcium carbonate,Antacid,500mg,GlaxoSmithKline,Calcium carbonate,false,"Heartburn, acid indigestion","Limit use; can cause rebound acidity",Constipation|Gas|Nausea,Kidney stones|High calcium levels
Zantac,Ranitidine,H2 Blocker,150mg,Boehringer Ingelheim,Ranitidine HCl,false,"Heartburn, acid reflux","Take before meals; recall due to NDMA impurity",Headache|Constipation|Diarrhea,NDMA contamination|Liver issues
Zyrtec,Cetirizine,Antihistamine,10mg,J&J,Cetirizine HCl,false,"Seasonal allergies, hives, itching","Less drowsy formula; can be taken day or night",Drowsiness|Dry mouth|Fatigue,Severe allergic reaction|Heart palpitations
Claritin,Loratadine,Antihistamine,10mg,Bayer,Loratadine,false,"Hay fever, allergic rhinitis","Non-drowsy; take once daily",Headache|Dry mouth|Nervousness,Severe allergic reaction|Liver problems
Allegra,Fexofenadine,Antihistamine,180mg,Sanofi,Fexofenadine HCl,false,"Seasonal allergies, skin allergies","Take on empty stomach; avoid fruit juices",Headache|Nausea|Back pain,Severe allergic reaction|Heart issues
NyQuil,Acetaminophen/Dextromethorphan/Doxylamine,Cold/Flu Relief,325/15/6.25mg,Procter & Gamble,Acetaminophen|Dextromethorphan|Doxylamine,false,"Cold, flu, nighttime symptoms","Causes drowsiness; do not operate machinery",Drowsiness|Dizziness|Dry mouth,Liver damage|Overdose risk
DayQuil,Acetaminophen/Phenylephrine/Dextromethorphan,Cold/Flu Relief,325/5/10mg,Procter & Gamble,Acetaminophen|Phenylephrine|Dextromethorphan,false,"Cold, flu, daytime symptoms","Non-drowsy formula; contains decongestant",Nervousness|Headache|Nausea,High blood pressure|Liver damage
Mucinex,Guaifenesin,Expectorant,600mg,Reckitt Benckiser,Guaifenesin,false,"Chest congestion, mucus relief","Drink extra fluids; helps loosen phlegm",Nausea|Vomiting|Rash,Kidney stones|Allergic reactions
Vicks VapoRub,Camphor/Eucalyptus/Menthol,Topical Decongestant,50g,Procter & Gamble,Camphor|Eucalyptus oil|Menthol,false,"Cough, chest congestion, muscle aches","For external use only; avoid on broken skin",Skin irritation|Burning sensation,Seizures|Poisoning if ingested
Neosporin,Bacitracin/Neomycin/Polymyxin,Topical Antibiotic,15g,J&J,Bacitracin|Neomycin|Polymyxin B,false,"Minor cuts, scrapes, burns","For external use; stop if rash develops",Itching|Redness|Swelling,Severe allergic reaction|Kidney damage
Hydrocortisone,Hydrocortisone,Topical Corticosteroid,1%,Pfizer,Hydrocortisone acetate,false,"Itching, rashes, skin inflammation","Do not use on face long-term; thin skin areas",Burning|Itching|Dry skin,Skin thinning|Adrenal suppression
Loperamide,Loperamide,Antidiarrheal,2mg,Perrigo,Loperamide HCl,false,"Acute, chronic diarrhea","Not for infections; maximum 8 capsules/day",Constipation|Dizziness|Headache,Toxic megacolon|Fatal heart rhythms
Metformin,Metformin,Antidiabetic,500mg,Merck,Metformin HCl,true,"Type 2 diabetes, PCOS","Take with meals; monitor kidney function",Diarrhea|Nausea|Gas,Lactic acidosis|Vitamin B12 deficiency
Atorvastatin,Atorvastatin,Statin,20mg,Pfizer,Atorvastatin calcium,true,"High cholesterol, heart disease","Take at night; avoid grapefruit juice",Headache|Muscle pain|Diarrhea,Rhabdomyolysis|Liver damage
Levothyroxine,Levothyroxine,Thyroid Hormone,50mcg,AbbVie,Levothyroxine sodium,true,"Hypothyroidism, thyroid cancer","Take on empty stomach; consistent timing",Hair loss|Weight change|Nervousness,Chest pain|Irregular heartbeat
Lisinopril,Lisinopril,ACE Inhibitor,10mg,AstraZeneca,Lisinopril,true,"High blood pressure, heart failure","Monitor potassium; avoid in pregnancy",Dizziness|Cough|Headache,Angioedema|Kidney failure
Amlodipine,Amlodipine,Calcium Channel Blocker,5mg,Pfizer,Amlodipine besylate,true,"Hypertension, angina","May cause swelling; take regularly",Swelling|Headache|Fatigue,Severe low blood pressure|Heart attack
Omeprazole,Omeprazole,Proton Pump Inhibitor,20mg,AstraZeneca,Omeprazole,true,"GERD, ulcers, acid reflux","Take before meals; long-term bone risk",Headache|Diarrhea|Nausea,Kidney disease|Bone fractures
Sertraline,Sertraline,SSRI Antidepressant,50mg,Pfizer,Sertraline HCl,true,"Depression, anxiety, OCD","May worsen initially; do not stop suddenly",Nausea|Insomnia|Dry mouth,Suicidal thoughts|Serotonin syndrome
Albuterol,Albuterol,Bronchodilator,100mcg,GlaxoSmithKline,Albuterol sulfate,true,"Asthma, COPD, bronchospasm","Shake before use; rinse mouth after",Shaking|Headache|Nervousness,Chest pain|Paradoxical bronchospasm
Fluoxetine,Fluoxetine,SSRI Antidepressant,20mg,Eli Lilly,Fluoxetine HCl,true,"Depression, bulimia, OCD","Takes 4-6 weeks for full effect",Nausea|Anxiety|Sleep issues,Suicidal thoughts|Serotonin syndrome
Ciprofloxacin,Ciprofloxacin,Antibiotic,500mg,Bayer,Ciprofloxacin HCl,true,"UTI, respiratory infections, anthrax","Avoid sun; tendon rupture risk",Nausea|Diarrhea|Headache,Tendon rupture|Peripheral neuropathy
Azithromycin,Azithromycin,Antibiotic,250mg,Pfizer,Azithromycin dihydrate,true,"Bronchitis, sinusitis, strep throat","Take full course; cardiac risk",Diarrhea|Nausea|Stomach pain,Severe allergic reaction|QT prolongation
Amoxicillin,Amoxicillin,Antibiotic,500mg,GlaxoSmithKline,Amoxicillin trihydrate,true,"Ear infections, pneumonia, UTI","Take with food; finish all medication",Diarrhea|Nausea|Rash,Severe allergic reaction|C. diff infection
Cephalexin,Cephalexin,Antibiotic,500mg,Lupin,Cephalexin,true,"Skin infections, strep throat, UTI","Take with plenty of water",Diarrhea|Nausea|Headache,Severe allergic reaction|Blood disorders
Doxycycline,Doxycycline,Antibiotic,100mg,Pfizer,Doxycycline hyclate,true,"Acne, Lyme disease, malaria","Avoid sun; take with food/water",Sun sensitivity|Nausea|Diarrhea,Intracranial hypertension|Liver damage
Prednisone,Prednisone,Corticosteroid,20mg,Pfizer,Prednisone,true,"Inflammation, allergies, autoimmune","Do not stop suddenly; taper dose",Increased appetite|Insomnia|Mood changes,High blood sugar|Infections|Osteoporosis
Warfarin,Warfarin,Anticoagulant,5mg,Bristol-Myers Squibb,Warfarin sodium,true,"Blood clots, stroke prevention","Regular blood tests; consistent diet",Bruising|Bleeding|Rash,Severe hemorrhage|Skin necrosis
Clopidogrel,Clopidogrel,Anti-platelet,75mg,Sanofi,Clopidogrel bisulfate,true,"Heart attack, stroke prevention","Avoid injuries; bleeding risk",Bruising|Nosebleed|Diarrhea,Severe bleeding|TTP
Gabapentin,Gabapentin,Anticonvulsant,300mg,Pfizer,Gabapentin,true,"Neuropathic pain, seizures, anxiety","May cause drowsiness; taper off",Dizziness|Sleepiness|Swelling,Suicidal thoughts|Angioedema
Tramadol,Tramadol,Opioid Analgesic,50mg,Janssen,Tramadol HCl,true,"Moderate to severe pain","Risk of addiction; avoid alcohol",Nausea|Dizziness|Constipation,Seizures|Serotonin syndrome|Respiratory depression
Sumatriptan,Sumatriptan,Migraine Medication,50mg,GlaxoSmithKline,Sumatriptan succinate,true,"Migraine attacks, cluster headaches","Use at first sign; not for prevention",Tingling|Warmth|Dizziness,Heart attack|Stroke|Serotonin syndrome
Furosemide,Furosemide,Diuretic,40mg,Sanofi,Furosemide,true,"Edema, hypertension, heart failure","Monitor electrolytes; morning dose",Increased urination|Dizziness|Low potassium,Dehydration|Hearing loss|Kidney damage
Insulin Glargine,Insulin glargine,Long-acting Insulin,100 units/mL,Sanofi,Insulin glargine,true,"Type 1 & 2 diabetes","Rotate injection sites; monitor glucose",Weight gain|Low blood sugar|Injection reactions,Severe hypoglycemia|Hypokalemia
Metoprolol,Metoprolol,Beta Blocker,50mg,AstraZeneca,Metoprolol tartrate,true,"High blood pressure, angina, heart failure","Do not stop abruptly; monitor pulse",Tiredness|Dizziness|Depression,Worsening heart failure|Bronchospasm
Losartan,Losartan,ARB,50mg,Merck,Losartan potassium,true,"Hypertension, diabetic kidney disease","Monitor kidney function and potassium",Dizziness|Back pain|Cough,Kidney problems|High potassium
Montelukast,Montelukast,Leukotriene Inhibitor,10mg,Merck,Montelukast sodium,true,"Asthma, allergic rhinitis","May cause mood changes; take evening",Headache|Fever|Sore throat,Neuropsychiatric events|Suicidal thoughts
Pantoprazole,Pantoprazole,Proton Pump Inhibitor,40mg,Sun Pharma,Pantoprazole sodium,true,"GERD, erosive esophagitis","Short-term use; vitamin deficiency risk",Headache|Diarrhea|Nausea,Kidney issues|Bone fractures
Diazepam,Diazepam,Benzodiazepine,5mg,Roche,Diazepam,true,"Anxiety, seizures, muscle spasms","High addiction risk; avoid alcohol",Drowsiness|Fatigue|Muscle weakness,Dependence|Respiratory depression
Citalopram,Citalopram,SSRI Antidepressant,20mg,Lundbeck,Citalopram HBr,true,"Depression, anxiety disorders","Cardiac monitoring; QT prolongation",Nausea|Dry mouth|Sleepiness,Suicidal thoughts|QT prolongation
Hydrochlorothiazide,Hydrochlorothiazide,Diuretic,25mg,Merck,Hydrochlorothiazide,true,"Hypertension, edema","Monitor electrolytes; sun sensitivity",Increased urination|Dizziness|Low potassium,Severe dehydration|Electrolyte imbalance
Morphine,Morphine,Opioid Analgesic,15mg,Pfizer,Morphine sulfate,true,"Severe acute/chronic pain","High addiction potential; monitor breathing",Nausea|Constipation|Drowsiness,Respiratory depression|Addiction|Overdose
Oxycodone,Oxycodone,Opioid Analgesic,10mg,Purdue Pharma,Oxycodone HCl,true,"Moderate to severe pain","Risk of misuse; take exactly as prescribed",Nausea|Constipation|Itching,Respiratory depression|Addiction|Overdose
Allopurinol,Allopurinol,Gout Medication,300mg,GlaxoSmithKline,Allopurinol,true,"Gout, kidney stones, chemotherapy","Drink plenty of water; start low dose",Rash|Nausea|Diarrhea,Severe skin reaction|Liver damage
Colchicine,Colchicine,Gout Medication,0.6mg,Takeda,Colchicine,true,"Gout attacks, familial Mediterranean fever","Take at first sign; drug interactions",Nausea|Diarrhea|Vomiting,Bone marrow suppression|Organ failure
Finasteride,Finasteride,5-alpha Reductase Inhibitor,5mg,Merck,Finasteride,true,"Benign prostatic hyperplasia, hair loss","Women should not handle crushed tablets",Decreased libido|Erectile dysfunction|Breast tenderness,Depression|Prostate cancer risk
Tamsulosin,Tamsulosin,Alpha Blocker,0.4mg,Astellas,Tamsulosin HCl,true,"BPH symptoms, urinary flow","Take after same meal daily; dizziness risk",Dizziness|Runny nose|Abnormal ejaculation,Severe low blood pressure|Priapism
Sildenafil,Sildenafil,ED Medication,50mg,Pfizer,Sildenafil citrate,true,"Erectile dysfunction, pulmonary hypertension","Do not take with nitrates",Headache|Flushing|Upset stomach,Sudden hearing loss|Priapism|Vision loss
Tadalafil,Tadalafil,ED Medication,10mg,Eli Lilly,Tadalafil,true,"Erectile dysfunction, BPH","Daily or as needed; longer duration",Headache|Indigestion|Back pain,Sudden hearing loss|Priapism|Vision loss
Duloxetine,Duloxetine,SNRI Antidepressant,30mg,Eli Lilly,Duloxetine HCl,true,"Depression, anxiety, diabetic neuropathy","Do not open capsules; taper off",Nausea|Dry mouth|Fatigue,Liver damage|Suicidal thoughts
Pregabalin,Pregabalin,Anticonvulsant,75mg,Pfizer,Pregabalin,true,"Neuropathic pain, fibromyalgia, anxiety","May cause weight gain; taper slowly",Dizziness|Weight gain|Blurred vision,Angioedema|Suicidal thoughts
Escitalopram,Escitalopram,SSRI Antidepressant,10mg,Lundbeck,Escitalopram oxalate,true,"Depression, generalized anxiety","Monitor for worsening symptoms",Nausea|Insomnia|Sexual dysfunction,Suicidal thoughts|Serotonin syndrome
Venlafaxine,Venlafaxine,SNRI Antidepressant,75mg,Wyeth,Venlafaxine HCl,true,"Depression, anxiety, panic disorder","Monitor blood pressure; withdrawal symptoms",Nausea|Dry mouth|Dizziness,Increased blood pressure|Suicidal thoughts
Quetiapine,Quetiapine,Atypical Antipsychotic,100mg,AstraZeneca,Quetiapine fumarate,true,"Schizophrenia, bipolar disorder, depression","Monitor weight and blood sugar",Drowsiness|Dry mouth|Weight gain,Neuroleptic malignant syndrome|Diabetes
Olanzapine,Olanzapine,Atypical Antipsychotic,10mg,Eli Lilly,Olanzapine,true,"Schizophrenia, bipolar mania","Significant weight/metabolic effects",Weight gain|Sleepiness|Increased appetite,Neuroleptic malignant syndrome|Diabetes
Aripiprazole,Aripiprazole,Atypical Antipsychotic,10mg,Otsuka,Aripiprazole,true,"Schizophrenia, bipolar disorder, depression","Less weight gain than others",Headache|Anxiety|Insomnia,Neuroleptic malignant syndrome|Diabetes
Risperidone,Risperidone,Atypical Antipsychotic,2mg,Janssen,Risperidone,true,"Schizophrenia, bipolar disorder, autism","Monitor for movement disorders",Drowsiness|Dizziness|Weight gain,Neuroleptic malignant syndrome|Diabetes
Spironolactone,Spironolactone,Diuretic/Anti-androgen,25mg,Pfizer,Spironolactone,true,"Heart failure, high blood pressure, acne","Monitor potassium; avoid salt substitutes",Breast tenderness|Increased urination|High potassium,Kidney problems|Electrolyte imbalance
Propranolol,Propranolol,Beta Blocker,40mg,Akrimax,Propranolol HCl,true,"Hypertension, migraine prevention, anxiety","Do not stop suddenly; many uses",Tiredness|Dizziness|Nausea,Worsening heart failure|Bronchospasm
Diltiazem,Diltiazem,Calcium Channel Blocker,120mg,Pfizer,Diltiazem HCl,true,"Hypertension, angina, arrhythmias","Monitor heart rate; grapefruit interaction",Dizziness|Headache|Swelling,Slow heart rate|Liver damage
Verapamil,Verapamil,Calcium Channel Blocker,120mg,Abbott,Verapamil HCl,true,"High blood pressure, angina, arrhythmias","Constipation common; monitor heart",Constipation|Dizziness|Headache,Heart failure|Liver damage
Methylprednisolone,Methylprednisolone,Corticosteroid,16mg,Pfizer,Methylprednisolone,true,"Severe inflammation, autoimmune diseases","Taper dose; monitor for infections",Increased appetite|Insomnia|Mood changes,High blood sugar|Infections|Osteoporosis
Dexamethasone,Dexamethasone,Corticosteroid,4mg,Merck,Dexamethasone,true,"Inflammation, cancer treatment, cerebral edema","Even single dose can suppress immunity",Increased appetite|Insomnia|Mood changes,High blood sugar|Infections|Osteoporosis
Budesonide,Budesonide,Inhaled Corticosteroid,180mcg,AstraZeneca,Budesonide,true,"Asthma, COPD maintenance","Rinse mouth after use to prevent thrush",Thrush|Hoarseness|Headache,Adrenal suppression|Osteoporosis
Fluticasone,Fluticasone,Nasal Corticosteroid,50mcg,GlaxoSmithKline,Fluticasone propionate,true,"Allergic rhinitis, nasal polyps","Takes days to work; not for immediate relief",Nosebleed|Headache|Sore throat,Severe allergic reaction|Vision problems
Mometasone,Mometasone,Nasal Corticosteroid,50mcg,Merck,Mometasone furoate,true,"Seasonal allergies, nasal symptoms","Regular use needed for full effect",Nosebleed|Headache|Sore throat,Adrenal suppression|Growth delay in children
Cetirizine,Cetirizine,Antihistamine,10mg,Dr. Reddy's,Cetirizine HCl,false,"Seasonal allergies, hives, itching","Less sedating; once daily",Drowsiness|Dry mouth|Fatigue,Severe allergic reaction|Heart palpitations
Loratadine,Loratadine,Antihistamine,10mg,Aurobindo,Loratadine,false,"Hay fever, allergic rhinitis","Non-drowsy for most people",Headache|Dry mouth|Nervousness,Severe allergic reaction|Liver problems
Fexofenadine,Fexofenadine,Antihistamine,180mg,Cipla,Fexofenadine HCl,false,"Seasonal allergies, chronic hives","Take on empty stomach; avoid fruit juices",Headache|Nausea|Back pain,Severe allergic reaction|Heart issues
Diphenhydramine,Diphenhydramine,Antihistamine,25mg,Perrigo,Diphenhydramine HCl,false,"Allergies, insomnia, motion sickness","Marked sedation; avoid alcohol",Drowsiness|Dry mouth|Dizziness,Difficulty urinating|Severe allergic reaction
Ranitidine,Ranitidine,H2 Blocker,150mg,GSK,Ranitidine HCl,false,"Heartburn, acid indigestion","Recall status; alternative medications",Headache|Constipation|Diarrhea,NDMA impurity|Liver issues
Famotidine,Famotidine,H2 Blocker,20mg,Merck,Famotidine,false,"Heartburn, GERD, ulcer prevention","Less interaction risk than others",Headache|Dizziness|Constipation,Confusion|Blood disorders
Esomeprazole,Esomeprazole,Proton Pump Inhibitor,20mg,AstraZeneca,Esomeprazole magnesium,true,"GERD, erosive esophagitis, ulcers","Shortest half-life of PPIs",Headache|Diarrhea|Nausea,Kidney disease|Bone fracture
Lansoprazole,Lansoprazole,Proton Pump Inhibitor,30mg,Takeda,Lansoprazole,true,"GERD, gastric ulcers, Zollinger-Ellison","Available as OTC and prescription",Diarrhea|Headache|Nausea,Kidney issues|Bone fractures
Rabeprazole,Rabeprazole,Proton Pump Inhibitor,20mg,Eisai,Rabeprazole sodium,true,"GERD, duodenal ulcers, hypersecretion","Fastest onset of PPIs",Headache|Nausea|Diarrhea,Kidney problems|Bone density loss
Meloxicam,Meloxicam,NSAID,15mg,Boehringer Ingelheim,Meloxicam,true,"Osteoarthritis, rheumatoid arthritis","Once daily; higher GI risk than others",Upset stomach|Diarrhea|Headache,Heart attack|Stroke|Stomach bleeding
Celecoxib,Celecoxib,NSAID,200mg,Pfizer,Celecoxib,true,"Arthritis, acute pain, ankylosing spondylitis","COX-2 selective; less GI bleeding",Headache|Upset stomach|Diarrhea,Heart attack|Stroke|Stomach bleeding
Diclofenac,Diclofenac,NSAID,50mg,Novartis,Diclofenac sodium,true,"Arthritis, migraines, pain","Available oral, topical, and injectable",Stomach upset|Diarrhea|Headache,Heart attack|Stroke|Liver damage
Indomethacin,Indomethacin,NSAID,25mg,Merck,Indomethacin,true,"Gout, arthritis, bursitis","Strong NSAID; higher side effect risk",Headache|Dizziness|Upset stomach,Pepic ulcer|Kidney failure|Heart issues
Ketorolac,Ketorolac,NSAID,10mg,Roche,Ketorolac tromethamine,true,"Short-term moderate pain","Limit to 5 days; not for chronic use",Upset stomach|Drowsiness|Headache,Stomach bleeding|Kidney failure|Heart risk
Mefenamic Acid,Mefenamic acid,NSAID,250mg,Pfizer,Mefenamic acid,true,"Menstrual pain, mild to moderate pain","Take with food; short-term use",Diarrhea|Nausea|Headache,Stomach bleeding|Kidney issues|Anemia
Piroxicam,Piroxicam,NSAID,20mg,Pfizer,Piroxicam,true,"Osteoarthritis, rheumatoid arthritis","Long half-life; once daily dosing",Stomach upset|Dizziness|Headache,GI bleeding|Kidney damage|Skin reactions
Nabumetone,Nabumetone,NSAID,500mg,GlaxoSmithKline,Nabumetone,true,"Osteoarthritis, rheumatoid arthritis","Prodrug; possibly gentler on stomach",Diarrhea|Abdominal pain|Headache,Stomach bleeding|Liver damage|Heart issues
Etodolac,Etodolac,NSAID,400mg,Watson,Etodolac,true,"Osteoarthritis, pain","Selective COX-2 inhibition properties",Upset stomach|Dizziness|Rash,GI bleeding|Kidney problems|Heart attack
Sulindac,Sulindac,NSAID,150mg,Merck,Sulindac,true,"Osteoarthritis, rheumatoid arthritis, gout","Unique metabolism; less kidney effect",Upset stomach|Diarrhea|Headache,Stomach bleeding|Liver damage|Pancreatitis
Tolmetin,Tolmetin,NSAID,200mg,McNeil,Tolmetin sodium,true,"Osteoarthritis, rheumatoid arthritis","Take with food; shorter duration",Upset stomach|Diarrhea|Headache,GI ulcers|Kidney failure|Blood disorders
Oxaprozin,Oxaprozin,NSAID,600mg,Pfizer,Oxaprozin,true,"Osteoarthritis, rheumatoid arthritis","Long half-life; once daily dosing",Diarrhea|Nausea|Headache,Stomach bleeding|Liver damage|Kidney failure
Flurbiprofen,Flurbiprofen,NSAID,100mg,Pfizer,Flurbiprofen,true,"Arthritis, pain, dysmenorrhea","Also available as eye drops",Upset stomach|Diarrhea|Headache,GI bleeding|Kidney issues|Heart problems
Ketoprofen,Ketoprofen,NSAID,75mg,Sanofi,Ketoprofen,true,"Rheumatoid arthritis, osteoarthritis, pain","Multiple formulations available",Upset stomach|Diarrhea|Dizziness,GI bleeding|Liver damage|Heart risk
Fenoprofen,Fenoprofen,NSAID,600mg,Dista,Fenoprofen calcium,true,"Rheumatoid arthritis, osteoarthritis, pain","Take with food; frequent dosing",Upset stomach|Headache|Dizziness,GI bleeding|Kidney damage|Blood disorders
Tiaprofenic Acid,Tiaprofenic acid,NSAID,300mg,Roussel,Tiaprofenic acid,true,"Rheumatoid arthritis, osteoarthritis","Not available in all countries",Upset stomach|Diarrhea|Headache,GI bleeding|Cystitis|Kidney issues
Aceclofenac,Aceclofenac,NSAID,100mg,Sanofi,Aceclofenac,true,"Osteoarthritis, rheumatoid arthritis, ankylosing spondylitis","Popular in some regions; COX-2 selective",Upset stomach|Diarrhea|Dizziness,GI bleeding|Liver damage|Kidney issues
Nimesulide,Nimesulide,NSAID,100mg,Novartis,Nimesulide,true,"Acute pain, dysmenorrhea, osteoarthritis","Restricted in some countries due to liver risk",Upset stomach|Diarrhea|Rash,Liver damage|Skin reactions|Kidney failure
Phenylbutazone,Phenylbutazone,NSAID,100mg,Novartis,Phenylbutazone,true,"Severe arthritis, ankylosing spondylitis","Rarely used due to serious blood risks",Upset stomach|Fluid retention|Dizziness,Blood disorders|Liver damage|Stevens-Johnson syndrome
Azapropazone,Azapropazone,NSAID,300mg,Rhein,Azapropazone,true,"Rheumatoid arthritis, osteoarthritis","Not available in many countries",Upset stomach|Diarrhea|Dizziness,Blood disorders|Liver damage|Kidney failure
Lornoxicam,Lornoxicam,NSAID,8mg,Roche,Lornoxicam,true,"Acute and chronic pain, osteoarthritis","Short half-life; twice daily dosing",Upset stomach|Dizziness|Headache,GI bleeding|Kidney damage|Heart issues
Tenoxicam,Tenoxicam,NSAID,20mg,Roche,Tenoxicam,true,"Rheumatoid arthritis, osteoarthritis, pain","Long half-life; once daily dosing",Upset stomach|Diarrhea|Headache,GI bleeding|Liver damage|Kidney problems
